monthly_budget,days_into_month,rent_or_pg_spent_so_far,avg_daily_spend,std_daily_spend,trend_slope,max_daily_spend,overspend_risk
23795.0,29,9384.97,726.3,351.06,9.1765,1380.48,SAFE
16226.0,14,6293.77,705.87,279.05,48.1566,1369.26,HIGH_RISK
15208.0,29,6665.87,407.06,86.87,10.019,529.32,SAFE
23934.0,7,10185.61,571.15,29.94,7.2688,611.64,CAUTION
18921.0,13,6990.43,394.69,25.45,-1.7277,443.16,SAFE
11748.0,1,4210.71,460.79,0.0,0.0,460.79,HIGH_RISK
11304.0,20,4918.16,298.52,19.38,1.0734,337.48,SAFE
8197.0,22,3296.46,302.36,140.01,5.8465,679.37,SAFE
17874.0,16,9011.96,294.34,73.53,-15.6878,415.52,SAFE
11987.0,24,5663.21,249.29,57.21,7.9112,363.35,SAFE
8301.0,21,3895.99,130.81,70.81,-0.9871,347.51,SAFE
16173.0,16,6141.49,225.55,51.05,10.6821,320.16,SAFE
8876.0,20,3770.93,127.82,9.29,-0.0559,144.03,SAFE
17662.0,5,7701.96,217.33,131.69,-65.1712,478.84,SAFE
21245.0,20,7376.88,593.77,118.3,-19.6963,766.09,SAFE
12000.0,29,5548.15,204.53,39.69,-4.477,300.97,SAFE
20043.0,17,9406.7,400.81,167.58,3.287,805.62,SAFE
19174.0,14,8213.83,659.72,409.74,55.0114,1842.12,HIGH_RISK
11141.0,28,4217.99,388.06,167.68,6.8506,811.12,SAFE
8667.0,21,3224.69,313.38,138.78,-0.655,651.91,SAFE
14938.0,17,7071.14,265.67,18.71,-0.7745,288.35,SAFE
11419.0,8,4033.46,257.17,61.88,-26.1501,337.34,SAFE
9252.0,21,4326.86,225.87,45.02,7.1713,295.39,SAFE
20015.0,11,6803.52,319.94,20.86,-2.0201,362.92,SAFE
20891.0,10,7348.86,423.54,231.65,3.4683,969.74,SAFE
21568.0,8,9466.34,477.84,201.7,27.2525,958.85,HIGH_RISK
13870.0,28,5034.75,311.26,19.29,0.2225,353.92,SAFE
13622.0,16,4840.46,261.7,18.8,0.3899,286.79,SAFE
21746.0,13,9614.31,439.95,199.77,9.6415,765.8,SAFE
16512.0,5,5431.07,385.72,95.88,66.3609,503.49,HIGH_RISK
9908.0,24,4707.33,168.03,37.26,-5.2408,233.01,SAFE
11687.0,8,4866.96,321.6,77.33,32.739,421.36,HIGH_RISK
9120.0,29,3669.79,122.94,25.63,2.9577,166.56,SAFE
8827.0,11,4368.68,182.59,39.36,-12.0954,252.26,SAFE
9645.0,4,3795.56,267.51,83.26,-48.1711,374.12,SAFE
14456.0,21,5975.65,277.63,63.25,-10.0626,406.28,SAFE
17916.0,8,7736.5,230.06,51.74,21.9385,302.33,CAUTION
13490.0,15,5821.11,388.34,135.98,5.8633,603.74,CAUTION
11300.0,3,5508.79,251.99,76.92,-93.7779,350.92,SAFE
20175.0,4,9349.64,492.78,169.79,138.5417,650.74,HIGH_RISK
11452.0,19,4946.77,295.16,60.34,-10.7549,386.7,SAFE
10573.0,9,4656.93,168.49,13.92,-2.0329,188.5,SAFE
15184.0,5,7156.73,224.48,14.38,3.2699,239.05,CAUTION
23156.0,7,10642.04,397.04,89.77,42.8319,527.98,HIGH_RISK
14819.0,17,6910.46,480.04,267.47,-12.2246,1250.86,SAFE
17650.0,30,5798.22,363.74,85.05,-9.5696,525.34,SAFE
12497.0,27,5488.67,264.53,18.85,0.8029,294.75,SAFE
18616.0,10,6594.37,421.44,93.61,31.0815,553.15,CAUTION
17155.0,12,8868.96,241.1,46.98,12.9709,324.69,SAFE
15274.0,2,5764.41,470.8,171.52,-343.0301,642.32,SAFE
8726.0,17,3790.54,177.41,12.88,-1.0707,197.0,SAFE
21774.0,8,11064.88,314.64,29.56,7.5957,349.24,CAUTION
13233.0,8,6400.5,315.83,63.97,27.151,393.85,HIGH_RISK
14924.0,11,6153.95,215.67,47.14,14.0797,293.2,SAFE
8294.0,2,3320.99,238.46,91.27,182.5408,329.73,HIGH_RISK
9007.0,6,3262.86,190.19,42.89,-24.5189,251.85,SAFE
